epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,368.802,1.52575,3.72577,1.43814,0,0,0,0,0,82.8965,0,0.000151498,0.000151498,0.000151498
2,746.755,1.44521,2.55127,1.36886,0,0,0,0,0,122.751,0,0.000297162,0.000297162,0.000297162
3,1144.88,1.41615,2.17814,1.33894,0,0,0,0,0,115.512,0,0.00043682,0.00043682,0.00043682
4,1556.73,1.37742,1.99925,1.33368,0,0,0,0,0,156.152,0,0.000427973,0.000427973,0.000427973
5,1940.88,1.34179,1.82464,1.30218,0,0,0,0,0,101.764,0,0.000418964,0.000418964,0.000418964
6,2321.52,1.2934,1.6736,1.27566,0,0,0,0,0,101.16,0,0.000409955,0.000409955,0.000409955
7,2708.1,1.27672,1.56469,1.25841,0,0,0,0,0,89.174,0,0.000400946,0.000400946,0.000400946
8,3154.77,1.24956,1.50148,1.24986,0,0,0,0,0,93.7562,0,0.000391937,0.000391937,0.000391937
9,3568.82,1.2256,1.43298,1.24075,0,0,0,0,0,100.437,0,0.000382928,0.000382928,0.000382928
10,3995.52,1.21258,1.36458,1.23571,0,0,0,0,0,67.5926,0,0.000373919,0.000373919,0.000373919
11,4438.57,1.20166,1.32064,1.22963,0,0,0,0,0,74.5089,0,0.00036491,0.00036491,0.00036491
12,4867.45,1.17788,1.26014,1.19813,0,0,0,0,0,69.1991,0,0.000355901,0.000355901,0.000355901
13,5322.08,1.15934,1.21377,1.1977,0,0,0,0,0,61.5011,0,0.000346892,0.000346892,0.000346892
14,5759.91,1.14438,1.19417,1.17986,0,0,0,0,0,75.7851,0,0.000337883,0.000337883,0.000337883
15,6151.03,1.13689,1.16054,1.17702,0,0,0,0,0,73.9561,0,0.000328874,0.000328874,0.000328874
16,6545.61,1.12626,1.12075,1.1766,0,0,0,0,0,81.1512,0,0.000319865,0.000319865,0.000319865
17,6938.66,1.114,1.10606,1.16993,0,0,0,0,0,69.4165,0,0.000310856,0.000310856,0.000310856
18,7324.76,1.09546,1.06824,1.15782,0,0,0,0,0,77.2434,0,0.000301847,0.000301847,0.000301847
19,7681.64,1.0946,1.05406,1.15604,0,0,0,0,0,73.8535,0,0.000292838,0.000292838,0.000292838
20,8039.81,1.09225,1.0409,1.15381,0,0,0,0,0,70.273,0,0.000283829,0.000283829,0.000283829
21,8401.7,1.06061,0.98901,1.14238,0,0,0,0,0,72.9679,0,0.00027482,0.00027482,0.00027482
22,8763.16,1.06776,0.99428,1.15265,0,0,0,0,0,78.0537,0,0.000265811,0.000265811,0.000265811
23,9128.87,1.04603,0.97455,1.14043,0,0,0,0,0,73.0077,0,0.000256802,0.000256802,0.000256802
24,9492.12,1.04484,0.93489,1.13095,0,0,0,0,0,77.6286,0,0.000247793,0.000247793,0.000247793
25,9856.79,1.0385,0.93506,1.13958,0,0,0,0,0,69.8998,0,0.000238784,0.000238784,0.000238784
26,10215.2,1.03252,0.9279,1.1283,0,0,0,0,0,64.2693,0,0.000229775,0.000229775,0.000229775
